Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
22,28,29,9,28,13
22,29,14,12,17,2
21,28,14,13,18,1
22,27,13,14,19,2
22,28,14,13,20,3
22,29,14,12,21,4
21,28,14,11,22,5
22,27,14,11,23,6
22,28,14,11,24,7
22,29,15,11,25,8
21,28,16,11,26,9
22,27,15,11,27,10
22,28,15,11,28,11
22,29,15,10,27,12
21,28,16,11,28,13
22,27,16,12,27,14
22,28,15,11,28,13
22,29,14,12,27,14
21,28,14,11,28,13
22,27,15,12,27,14
22,28,16,12,28,13
22,29,17,12,27,14
21,28,16,13,28,13
22,27,17,12,27,14
22,28,18,13,28,13
22,29,19,14,27,14
21,28,19,13,28,13
22,27,20,12,27,14
22,28,20,11,28,13
22,29,19,11,27,14
21,28,19,11,28,13
22,27,18,12,27,14
22,28,17,11,28,13
22,29,18,10,27,14
21,28,17,9,28,13
22,27,18,10,27,14
22,28,18,9,28,13
22,29,18,8,27,14
21,28,19,8,28,13
22,27,18,7,27,14
22,28,17,7,28,13
22,29,17,8,27,14
21,28,17,9,28,13
22,27,18,10,27,14
22,28,17,10,28,13
22,29,18,10,27,14
21,28,18,11,28,13
22,27,18,11,27,14
22,28,17,10,28,13
22,29,17,10,27,14
21,28,17,10,28,13
22,27,16,11,27,14
22,28,16,10,28,13
22,29,17,11,27,14
21,28,18,11,28,13
22,27,18,12,27,14
22,28,19,13,28,13
22,29,18,12,27,14
21,28,18,12,28,13
22,27,18,11,27,14
22,28,19,10,28,13
22,29,18,9,27,14
21,28,18,10,28,13
22,27,19,11,27,14
22,28,18,12,28,13
22,29,17,12,27,14
21,28,18,11,28,13
22,27,17,12,27,14
22,28,17,11,28,13
22,29,16,11,27,14
21,28,16,11,28,13
22,27,16,10,27,14
22,28,15,11,28,13
22,29,15,10,27,14
21,28,15,11,28,13
22,27,15,10,27,14
22,28,15,10,28,13
22,29,15,9,27,14
21,28,14,10,28,13
22,27,13,9,27,14
22,28,14,8,28,13
22,29,15,9,27,14
21,28,16,9,28,13
22,27,16,10,27,14
22,28,16,11,28,13
22,29,17,10,27,14
21,28,18,10,28,13
22,27,18,9,27,14
22,28,17,8,28,13
22,29,17,9,27,14
21,28,16,9,28,13
22,27,17,10,27,14
22,28,17,9,28,13
22,29,18,8,27,14
21,28,17,8,28,13
22,27,16,8,27,14
22,28,16,9,28,13
22,29,16,9,27,14
21,28,17,9,28,13
22,27,16,8,27,14
22,28,15,8,28,13
22,29,16,8,27,14
21,28,16,7,28,13
22,27,17,7,27,14
22,28,18,8,28,13
22,29,18,7,27,14
21,28,19,6,28,13
22,27,20,7,27,14
22,28,21,7,28,13
22,29,22,7,27,14
21,28,23,8,28,13
22,27,23,7,27,14
22,28,22,8,28,13
22,29,22,9,27,14
21,28,23,10,28,13
22,27,24,9,27,14
22,28,25,10,28,13
22,29,26,9,27,14
21,28,27,8,28,13
22,27,28,8,27,14
22,28,29,9,28,13
