Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
2,0,28,27,26,28
2,8,26,25,13,19
1,9,26,24,14,18
2,10,27,23,15,19
2,11,27,22,16,20
3,11,26,23,17,21
4,10,25,24,18,22
5,9,25,24,19,23
6,8,24,25,20,24
7,7,24,26,21,25
6,6,23,25,22,26
7,5,22,26,23,27
6,4,21,27,24,28
7,3,21,28,25,29
8,2,21,27,26,28
9,1,22,27,27,29
10,0,21,28,26,28
9,0,20,27,27,29
8,0,21,26,26,28
7,0,20,27,27,29
6,0,20,27,26,28
5,0,21,27,27,29
4,0,22,28,26,28
3,0,22,29,27,29
2,0,22,29,26,28
1,0,21,28,27,29
2,0,20,28,26,28
1,0,19,27,27,29
2,0,20,27,26,28
1,0,21,26,27,29
2,0,22,26,26,28
1,0,23,25,27,29
2,0,23,24,26,28
1,0,23,25,27,29
2,0,24,26,26,28
1,0,25,27,27,29
2,0,26,26,26,28
1,0,27,26,27,29
2,0,28,27,26,28
