Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
2,2,7,6,27,24
1,3,10,18,3,6
1,3,10,19,4,7
1,3,10,18,5,8
1,3,9,18,6,9
1,3,8,17,7,10
1,3,8,18,8,11
2,3,8,19,9,12
1,2,7,18,10,13
2,2,7,19,11,14
2,3,7,19,12,15
1,2,7,18,13,16
2,2,6,18,14,17
2,3,7,19,15,18
1,2,7,18,16,17
2,2,8,18,17,16
2,3,9,17,18,17
1,2,9,16,19,18
2,2,9,16,20,19
2,3,10,15,21,20
1,2,11,15,22,21
2,2,11,15,23,22
2,3,10,15,24,23
1,2,10,15,25,24
2,2,10,14,26,25
2,3,10,15,27,24
1,2,10,14,28,23
2,2,10,14,27,24
2,3,9,13,28,23
1,2,8,14,27,24
2,2,9,13,28,23
2,3,8,12,27,24
1,2,8,13,28,23
2,2,7,14,27,24
2,3,7,13,28,23
1,2,8,12,27,24
2,2,9,11,28,23
2,3,9,12,27,24
1,2,9,11,28,23
2,2,8,10,27,24
2,3,7,10,28,23
1,2,6,10,27,24
2,2,5,10,28,23
2,3,5,9,27,24
1,2,4,9,28,23
2,2,5,8,27,24
2,3,4,7,28,23
1,2,5,6,27,24
2,2,5,6,28,23
2,3,6,5,27,24
1,2,7,5,28,23
2,2,7,6,27,24
