Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,1,16,3,27,28
14,12,15,23,10,17
15,11,16,22,11,18
16,10,15,22,12,19
17,9,14,21,13,20
18,10,15,20,14,21
19,11,14,21,15,22
20,12,15,20,16,21
21,13,15,19,17,22
20,12,16,19,18,23
21,11,17,20,19,24
22,10,17,21,20,25
23,9,18,20,21,26
24,8,18,20,22,27
25,7,19,19,23,28
26,6,19,18,24,29
27,5,20,17,25,28
26,4,21,18,26,29
27,3,20,19,27,28
26,3,20,20,28,29
27,2,21,19,27,28
26,2,20,19,28,29
27,1,21,18,27,28
27,2,20,18,28,29
26,2,20,17,27,28
27,1,21,16,28,29
27,2,22,17,27,28
26,2,23,17,28,29
27,1,23,16,27,28
27,2,22,15,28,29
26,2,22,16,27,28
27,1,21,16,28,29
27,2,20,15,27,28
26,2,20,14,28,29
27,1,19,13,27,28
27,2,19,12,28,29
26,2,20,12,27,28
27,1,21,11,28,29
27,2,20,11,27,28
26,2,21,10,28,29
27,1,21,10,27,28
27,2,20,9,28,29
26,2,21,10,27,28
27,1,20,11,28,29
27,2,21,11,27,28
26,2,22,11,28,29
27,1,23,10,27,28
27,2,23,9,28,29
26,2,22,9,27,28
27,1,23,9,28,29
27,2,24,9,27,28
26,2,23,10,28,29
27,1,22,9,27,28
27,2,21,10,28,29
26,2,22,11,27,28
27,1,22,12,28,29
27,2,23,11,27,28
26,2,22,10,28,29
27,1,23,10,27,28
27,2,22,11,28,29
26,2,22,10,27,28
27,1,23,11,28,29
27,2,22,11,27,28
26,2,22,12,28,29
27,1,21,12,27,28
27,2,20,11,28,29
26,2,21,11,27,28
27,1,22,10,28,29
27,2,21,9,27,28
26,2,20,10,28,29
27,1,19,9,27,28
27,2,18,8,28,29
26,2,19,8,27,28
27,1,18,9,28,29
27,2,18,8,27,28
26,2,17,8,28,29
27,1,16,9,27,28
27,2,16,8,28,29
26,2,15,7,27,28
27,1,15,8,28,29
27,2,14,7,27,28
26,2,15,6,28,29
27,1,15,6,27,28
27,2,14,7,28,29
26,2,14,8,27,28
27,1,14,7,28,29
27,2,14,7,27,28
26,2,13,7,28,29
27,1,14,6,27,28
27,2,15,6,28,29
26,2,14,6,27,28
27,1,14,6,28,29
27,2,14,5,27,28
26,2,14,6,28,29
27,1,13,5,27,28
27,2,13,6,28,29
26,2,13,6,27,28
27,1,14,5,28,29
27,2,15,5,27,28
26,2,15,4,28,29
27,1,14,3,27,28
27,2,15,4,28,29
26,2,16,5,27,28
27,1,16,4,28,29
27,2,17,5,27,28
26,2,16,4,28,29
27,1,16,3,27,28
