Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,9,28,10,28,23
5,21,10,7,5,2
6,20,9,7,6,3
7,19,9,6,7,4
8,18,8,6,8,5
9,17,8,5,9,6
10,16,9,5,10,7
11,15,10,6,11,8
12,14,10,6,12,9
13,13,11,6,13,10
14,12,12,6,14,11
15,11,13,5,15,12
16,10,13,6,16,13
16,9,12,5,17,14
17,10,12,5,18,15
18,11,13,6,19,16
19,12,14,5,20,17
20,11,13,4,21,18
21,12,13,4,22,19
22,13,14,3,23,20
23,12,15,2,24,21
24,11,15,1,25,22
24,10,15,1,26,23
25,11,14,0,27,24
24,10,15,1,28,23
25,11,16,0,27,24
26,10,16,0,28,23
25,9,16,0,27,24
26,8,17,0,28,23
27,9,18,0,27,24
28,8,18,0,28,23
27,9,18,0,27,24
28,8,17,1,28,23
27,8,17,2,27,24
28,7,18,1,28,23
27,7,18,2,27,24
28,6,19,1,28,23
27,7,20,2,27,24
26,8,19,1,28,23
27,9,18,2,27,24
26,8,19,3,28,23
27,7,18,2,27,24
28,6,17,2,28,23
27,7,17,1,27,24
28,6,17,2,28,23
27,7,17,2,27,24
28,6,17,1,28,23
27,7,17,2,27,24
28,6,17,2,28,23
27,7,17,2,27,24
28,6,17,3,28,23
27,7,18,2,27,24
28,6,18,1,28,23
27,7,18,1,27,24
28,6,19,2,28,23
27,7,19,2,27,24
28,6,20,3,28,23
27,7,21,2,27,24
27,8,20,3,28,23
26,9,21,4,27,24
27,10,20,5,28,23
26,11,19,6,27,24
25,12,19,6,28,23
26,13,20,6,27,24
26,12,21,5,28,23
27,11,20,6,27,24
26,12,20,7,28,23
26,13,21,7,27,24
26,12,20,6,28,23
27,13,20,5,27,24
27,12,19,6,28,23
26,13,20,6,27,24
26,12,20,7,28,23
26,13,21,8,27,24
27,14,20,8,28,23
27,15,19,8,27,24
27,16,19,9,28,23
27,17,20,8,27,24
28,16,21,9,28,23
27,15,22,9,27,24
27,14,23,10,28,23
28,15,23,9,27,24
28,14,23,9,28,23
27,13,24,8,27,24
28,12,24,7,28,23
27,11,24,7,27,24
28,12,25,6,28,23
27,12,24,6,27,24
28,11,23,6,28,23
27,10,24,5,27,24
28,9,25,6,28,23
27,8,25,6,27,24
28,9,24,5,28,23
27,8,25,5,27,24
27,7,26,5,28,23
27,6,26,6,27,24
27,7,25,6,28,23
27,8,26,7,27,24
28,9,27,8,28,23
27,8,28,9,27,24
28,9,28,10,28,23
