Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,20,0,9,27,29
25,26,6,1,7,29
26,25,7,1,8,28
27,24,7,0,9,29
28,23,8,0,10,28
27,23,9,0,11,29
28,22,9,0,12,28
27,22,10,0,13,29
28,21,10,0,14,28
27,21,9,1,15,29
28,20,9,0,16,28
27,20,9,0,17,29
28,19,9,0,18,28
27,20,9,0,19,29
28,19,9,0,20,28
27,20,10,1,21,29
28,19,9,1,22,28
27,20,10,1,23,29
28,19,10,2,24,28
27,20,11,2,25,29
28,19,12,2,26,28
27,20,13,2,27,29
28,19,13,1,28,28
27,20,14,0,27,29
28,19,14,0,28,28
27,20,15,0,27,29
28,19,16,1,28,28
27,20,17,1,27,29
28,19,18,2,28,28
27,20,19,3,27,29
28,19,18,4,28,28
27,20,17,5,27,29
28,19,16,5,28,28
27,20,15,4,27,29
28,19,16,5,28,28
27,20,15,5,27,29
28,19,15,6,28,28
27,20,15,6,27,29
28,19,15,5,28,28
27,20,16,6,27,29
28,19,15,5,28,28
27,20,16,4,27,29
28,19,15,4,28,28
27,20,16,4,27,29
28,19,16,5,28,28
27,20,15,5,27,29
28,19,14,4,28,28
27,20,14,4,27,29
28,19,15,4,28,28
27,20,16,3,27,29
28,19,17,2,28,28
27,20,17,2,27,29
28,19,18,1,28,28
27,20,18,0,27,29
28,19,17,1,28,28
27,20,18,1,27,29
28,19,17,1,28,28
27,20,18,2,27,29
28,19,17,1,28,28
27,20,18,0,27,29
28,19,19,0,28,28
27,20,19,0,27,29
28,19,20,1,28,28
27,20,21,1,27,29
28,19,20,0,28,28
27,20,19,0,27,29
28,19,19,1,28,28
27,20,18,0,27,29
28,19,19,1,28,28
27,20,20,0,27,29
28,19,20,0,28,28
27,20,20,1,27,29
28,19,21,1,28,28
27,20,21,2,27,29
28,19,22,1,28,28
27,20,21,2,27,29
28,19,21,2,28,28
27,20,21,3,27,29
28,19,20,4,28,28
27,20,19,4,27,29
28,19,20,5,28,28
27,20,20,6,27,29
28,19,20,5,28,28
27,20,20,6,27,29
28,19,19,6,28,28
27,20,19,7,27,29
28,19,18,8,28,28
27,20,17,7,27,29
28,19,18,6,28,28
27,20,19,5,27,29
28,19,18,5,28,28
27,20,19,6,27,29
28,19,18,5,28,28
27,20,19,4,27,29
28,19,19,3,28,28
27,20,18,4,27,29
28,19,18,3,28,28
27,20,17,2,27,29
28,19,17,3,28,28
27,20,18,4,27,29
28,19,18,4,28,28
27,20,19,4,27,29
28,19,19,5,28,28
27,20,18,6,27,29
28,19,17,6,28,28
27,20,17,5,27,29
28,19,18,4,28,28
27,20,18,4,27,29
28,19,18,4,28,28
27,20,17,5,27,29
28,19,16,5,28,28
27,20,15,6,27,29
28,19,15,5,28,28
27,20,14,6,27,29
28,19,15,5,28,28
27,20,16,6,27,29
28,19,16,5,28,28
27,20,16,4,27,29
28,19,15,5,28,28
27,20,15,4,27,29
28,19,15,5,28,28
27,20,15,5,27,29
28,19,15,4,28,28
27,20,16,4,27,29
28,19,15,4,28,28
27,20,15,3,27,29
28,19,16,2,28,28
27,20,15,1,27,29
28,19,16,2,28,28
27,20,16,2,27,29
28,19,15,2,28,28
27,20,16,1,27,29
28,19,16,1,28,28
27,20,16,0,27,29
28,19,15,0,28,28
27,20,14,0,27,29
28,19,14,0,28,28
27,20,14,0,27,29
28,19,14,0,28,28
27,20,15,1,27,29
28,19,14,2,28,28
27,20,15,2,27,29
28,19,16,3,28,28
27,20,15,2,27,29
28,19,15,1,28,28
27,20,14,1,27,29
28,19,13,0,28,28
27,20,13,0,27,29
28,19,14,1,28,28
27,20,15,2,27,29
28,19,16,1,28,28
27,20,17,1,27,29
28,19,16,1,28,28
27,20,16,0,27,29
28,19,16,1,28,28
27,20,17,0,27,29
28,19,16,1,28,28
27,20,15,0,27,29
28,19,14,0,28,28
27,20,14,0,27,29
28,19,14,1,28,28
27,20,14,0,27,29
28,19,15,0,28,28
27,20,15,0,27,29
28,19,15,1,28,28
27,20,14,2,27,29
28,19,15,2,28,28
27,20,15,3,27,29
28,19,16,2,28,28
27,20,15,3,27,29
28,19,16,4,28,28
27,20,15,3,27,29
28,19,14,4,28,28
27,20,13,4,27,29
28,19,13,4,28,28
27,20,13,5,27,29
28,19,12,5,28,28
27,20,13,6,27,29
28,19,14,5,28,28
27,20,13,6,27,29
28,19,12,6,28,28
27,20,13,7,27,29
28,19,12,8,28,28
27,20,11,8,27,29
28,19,11,7,28,28
27,20,11,7,27,29
28,19,12,6,28,28
27,20,12,7,27,29
28,19,11,8,28,28
27,20,12,9,27,29
28,19,13,8,28,28
27,20,12,9,27,29
28,19,11,9,28,28
27,20,11,9,27,29
28,19,10,9,28,28
27,20,9,9,27,29
28,19,8,9,28,28
27,20,8,9,27,29
28,19,8,10,28,28
27,20,9,9,27,29
28,19,8,9,28,28
27,20,7,8,27,29
28,19,6,9,28,28
27,20,7,9,27,29
28,19,7,8,28,28
27,20,7,7,27,29
28,19,6,8,28,28
27,20,7,7,27,29
28,19,6,7,28,28
27,20,5,8,27,29
28,19,6,9,28,28
27,20,5,8,27,29
28,19,4,9,28,28
27,20,3,9,27,29
28,19,3,8,28,28
27,20,2,7,27,29
28,19,2,8,28,28
27,20,3,9,27,29
28,19,3,10,28,28
27,20,2,9,27,29
28,19,2,10,28,28
27,20,3,9,27,29
28,19,3,9,28,28
27,20,2,9,27,29
28,19,1,8,28,28
27,20,2,9,27,29
28,19,3,9,28,28
27,20,4,8,27,29
28,19,5,8,28,28
27,20,4,9,27,29
28,19,3,10,28,28
27,20,2,11,27,29
28,19,1,10,28,28
27,20,2,9,27,29
28,19,3,10,28,28
27,20,4,11,27,29
28,19,4,10,28,28
27,20,3,9,27,29
28,19,4,9,28,28
27,20,5,9,27,29
28,19,5,10,28,28
27,20,4,10,27,29
28,19,3,9,28,28
27,20,4,8,27,29
28,19,3,7,28,28
27,20,2,7,27,29
28,19,3,7,28,28
27,20,4,8,27,29
28,19,4,7,28,28
27,20,3,6,27,29
28,19,4,5,28,28
27,20,4,5,27,29
28,19,4,6,28,28
27,20,5,6,27,29
28,19,5,7,28,28
27,20,5,7,27,29
28,19,4,8,28,28
27,20,4,9,27,29
28,19,3,9,28,28
27,20,2,8,27,29
28,19,1,8,28,28
27,20,0,9,27,29
