Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
8,24,20,15,26,29
20,29,25,15,17,22
19,29,24,15,18,23
18,29,24,14,19,22
17,29,24,15,20,23
16,29,25,15,21,24
17,28,24,14,22,25
16,29,24,14,23,26
15,29,24,13,24,27
14,29,23,14,25,28
13,29,22,13,26,29
12,29,21,12,27,28
11,29,20,12,26,29
10,29,20,13,27,28
9,29,20,13,26,29
8,29,20,14,27,28
7,29,21,13,26,29
6,29,20,14,27,28
5,29,20,14,26,29
4,29,21,15,27,28
3,29,22,15,26,29
2,29,21,14,27,28
3,28,20,13,26,29
4,27,19,13,27,28
5,26,19,12,26,29
6,25,19,13,27,28
7,24,20,14,26,29
8,23,21,14,27,28
8,24,20,15,26,29
