Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
25,17,23,2,27,18
27,18,21,2,12,1
27,19,21,2,13,2
26,19,22,1,14,3
27,18,22,1,15,4
27,19,21,2,16,5
26,19,21,1,17,6
27,18,22,1,18,7
27,19,23,1,19,8
26,19,22,2,20,9
27,18,21,2,21,10
27,19,20,2,22,11
26,19,21,3,23,12
27,18,22,2,24,13
27,19,21,3,25,12
26,19,22,4,26,13
27,18,22,3,27,14
27,19,22,3,28,15
26,19,22,3,27,16
27,18,21,2,28,17
27,17,21,3,27,18
26,16,20,3,28,17
25,17,19,3,27,18
26,16,20,4,28,17
25,17,19,3,27,18
26,16,18,2,28,17
25,17,19,3,27,18
26,16,20,2,28,17
25,17,21,1,27,18
26,16,21,1,28,17
25,17,20,2,27,18
26,16,20,3,28,17
25,17,21,3,27,18
26,16,21,2,28,17
25,17,22,1,27,18
26,16,22,2,28,17
25,17,23,2,27,18
