Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
1,20,3,19,28,14
2,21,14,9,15,3
1,20,15,9,16,2
2,21,16,10,17,3
1,20,16,10,18,4
2,21,17,9,19,5
1,20,16,8,20,6
2,21,15,8,21,7
1,20,15,9,22,8
2,21,14,10,23,9
1,20,14,11,24,10
2,21,14,12,25,11
1,20,15,11,26,12
2,21,14,12,27,13
1,20,14,12,28,14
2,21,14,11,27,15
1,20,15,12,28,14
2,21,15,13,27,15
1,20,16,12,28,14
2,21,17,12,27,15
1,20,18,13,28,14
2,21,19,14,27,15
1,20,18,15,28,14
2,21,18,16,27,15
1,20,19,15,28,14
2,21,18,15,27,15
1,20,17,16,28,14
2,21,16,16,27,15
1,20,15,17,28,14
2,21,14,17,27,15
1,20,13,17,28,14
2,21,12,18,27,15
1,20,11,18,28,14
2,21,11,19,27,15
1,20,10,20,28,14
2,21,11,19,27,15
1,20,11,18,28,14
2,21,12,19,27,15
1,20,11,18,28,14
2,21,10,18,27,15
1,20,11,19,28,14
2,21,12,20,27,15
1,20,12,20,28,14
2,21,11,20,27,15
1,20,10,19,28,14
2,21,9,19,27,15
1,20,8,18,28,14
2,21,8,19,27,15
1,20,8,19,28,14
2,21,7,20,27,15
1,20,6,19,28,14
2,21,6,20,27,15
1,20,5,19,28,14
2,21,6,18,27,15
1,20,5,17,28,14
2,21,6,17,27,15
1,20,5,16,28,14
2,21,5,16,27,15
1,20,5,16,28,14
2,21,5,16,27,15
1,20,4,16,28,14
2,21,5,15,27,15
1,20,6,16,28,14
2,21,5,15,27,15
1,20,4,15,28,14
2,21,3,16,27,15
1,20,3,17,28,14
2,21,2,16,27,15
1,20,3,15,28,14
2,21,2,16,27,15
1,20,2,17,28,14
2,21,2,16,27,15
1,20,1,17,28,14
2,21,2,18,27,15
1,20,3,19,28,14
