Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,22,25,20,27,29
22,19,8,29,21,23
23,18,8,29,22,24
23,19,9,29,23,25
24,18,10,29,24,26
23,19,10,28,25,27
24,18,10,28,26,28
23,19,11,28,27,29
24,18,12,29,26,28
23,19,11,28,27,29
24,18,10,27,26,28
23,19,10,27,27,29
24,18,11,28,26,28
23,19,12,27,27,29
24,18,11,27,26,28
23,19,12,28,27,29
24,18,11,29,26,28
23,19,11,29,27,29
24,18,11,29,26,28
23,19,11,29,27,29
24,18,12,28,26,28
23,19,13,28,27,29
24,18,13,29,26,28
23,19,12,29,27,29
22,20,12,29,26,28
21,21,12,29,27,29
22,22,11,28,26,28
21,23,11,29,27,29
20,24,11,29,26,28
21,25,12,29,27,29
22,26,13,29,26,28
23,27,13,29,27,29
22,28,14,29,26,28
23,29,13,28,27,29
22,29,13,29,26,28
23,28,13,29,27,29
22,29,13,29,26,28
23,28,14,29,27,29
24,29,14,29,26,28
23,28,13,29,27,29
22,29,14,28,26,28
23,28,15,27,27,29
24,27,15,27,26,28
25,26,16,26,27,29
26,25,17,25,26,28
25,24,16,25,27,29
26,23,16,26,26,28
27,22,16,26,27,29
28,23,16,27,26,28
27,24,17,28,27,29
26,23,18,28,26,28
27,22,19,29,27,29
28,23,20,29,26,28
27,22,20,29,27,29
28,23,21,29,26,28
27,23,21,29,27,29
28,24,21,28,26,28
27,23,20,27,27,29
26,22,20,26,26,28
26,23,20,25,27,29
27,22,20,26,26,28
28,23,21,27,27,29
27,24,20,26,26,28
26,23,20,25,27,29
27,22,19,26,26,28
28,23,18,26,27,29
27,24,17,27,26,28
26,23,17,26,27,29
27,22,18,25,26,28
28,23,18,26,27,29
27,24,17,26,26,28
26,23,18,26,27,29
27,22,18,27,26,28
28,23,19,27,27,29
27,24,20,26,26,28
26,23,21,26,27,29
27,22,21,25,26,28
28,23,21,25,27,29
27,24,22,26,26,28
26,23,22,26,27,29
27,22,22,27,26,28
28,23,21,26,27,29
27,24,22,25,26,28
26,23,23,24,27,29
27,22,23,25,26,28
28,23,24,24,27,29
27,24,23,25,26,28
26,23,22,25,27,29
27,22,23,25,26,28
28,23,23,26,27,29
27,24,23,25,26,28
26,23,22,24,27,29
27,22,23,24,26,28
28,23,22,25,27,29
27,24,21,24,26,28
26,23,21,25,27,29
27,22,20,25,26,28
28,23,19,25,27,29
27,24,19,24,26,28
26,23,18,23,27,29
27,22,17,23,26,28
28,23,17,24,27,29
27,24,17,23,26,28
26,23,17,22,27,29
27,22,17,23,26,28
28,23,17,22,27,29
27,24,17,23,26,28
26,23,16,22,27,29
27,22,16,21,26,28
28,23,16,20,27,29
27,24,15,19,26,28
26,23,15,18,27,29
27,22,14,17,26,28
28,23,14,18,27,29
27,24,15,17,26,28
26,23,14,17,27,29
27,22,14,16,26,28
28,23,15,16,27,29
27,24,15,17,26,28
26,23,14,16,27,29
27,22,14,17,26,28
28,23,13,18,27,29
27,24,14,18,26,28
26,23,15,19,27,29
27,22,16,18,26,28
28,23,17,18,27,29
27,24,18,18,26,28
26,23,17,17,27,29
27,22,18,18,26,28
28,23,19,18,27,29
27,24,18,17,26,28
26,25,18,18,27,29
26,26,18,19,26,28
25,27,18,19,27,29
25,26,18,20,26,28
26,25,17,21,27,29
25,24,16,22,26,28
26,23,17,21,27,29
27,22,18,21,26,28
28,23,18,21,27,29
27,24,19,21,26,28
26,23,18,21,27,29
27,22,19,20,26,28
28,23,19,20,27,29
27,24,18,21,26,28
26,23,18,20,27,29
27,22,19,20,26,28
28,23,18,20,27,29
27,24,19,20,26,28
26,23,20,21,27,29
27,22,21,21,26,28
28,23,21,21,27,29
27,24,21,22,26,28
26,23,20,21,27,29
27,22,21,21,26,28
28,23,22,20,27,29
28,24,23,20,26,28
27,24,22,19,27,29
26,23,23,20,26,28
27,24,23,19,27,29
28,23,24,19,26,28
27,24,25,18,27,29
26,23,25,19,26,28
27,22,25,20,27,29
