Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
26,24,12,23,28,28
6,20,12,13,10,20
6,19,12,12,11,21
6,18,12,13,12,22
7,19,13,13,13,23
8,20,14,13,14,24
9,21,15,12,15,25
10,22,15,13,16,26
11,21,14,13,17,27
12,20,14,13,18,28
13,19,14,14,19,29
14,18,14,15,20,28
15,17,15,15,21,29
16,16,14,14,22,28
17,17,13,13,23,29
18,18,14,13,24,28
18,17,15,14,25,29
19,18,14,15,26,28
18,19,14,15,27,29
19,20,14,16,28,28
18,20,13,15,27,29
17,19,14,16,28,28
18,20,15,15,27,29
19,19,16,14,28,28
20,18,15,14,27,29
20,19,14,15,28,28
19,20,13,16,27,29
18,21,14,17,28,28
19,22,13,16,27,29
20,23,12,17,28,28
19,24,11,16,27,29
20,25,11,16,28,28
21,26,12,15,27,29
22,25,11,15,28,28
21,24,10,15,27,29
20,25,11,14,28,28
21,24,11,15,27,29
22,23,10,16,28,28
21,23,9,15,27,29
20,24,8,16,28,28
19,25,7,16,27,29
20,24,7,16,28,28
19,25,6,15,27,29
20,24,5,16,28,28
19,25,6,16,27,29
20,24,6,16,28,28
19,25,7,17,27,29
20,24,7,17,28,28
19,25,7,18,27,29
20,24,7,17,28,28
19,25,8,17,27,29
20,24,9,16,28,28
19,25,10,17,27,29
19,26,11,18,28,28
20,27,10,18,27,29
20,28,9,17,28,28
19,27,9,16,27,29
19,26,9,16,28,28
18,25,10,16,27,29
18,24,10,17,28,28
18,25,11,17,27,29
18,24,10,18,28,28
17,25,11,17,27,29
18,24,11,17,28,28
19,25,11,17,27,29
20,26,11,17,28,28
21,27,12,17,27,29
22,26,13,18,28,28
23,27,12,19,27,29
24,26,12,20,28,28
25,25,11,19,27,29
26,24,12,19,28,28
26,23,13,20,27,29
25,24,14,21,28,28
25,25,13,22,27,29
26,24,12,23,28,28
