Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
25,11,15,2,28,29
11,16,10,14,17,14
12,15,11,13,18,15
12,14,11,13,19,16
13,15,11,13,20,17
14,16,11,12,21,18
14,15,10,13,22,19
13,16,9,14,23,20
12,17,10,14,24,21
12,16,10,13,25,22
12,15,10,14,26,23
12,16,10,14,27,24
13,17,9,13,26,25
14,18,8,12,27,26
15,19,9,12,26,27
15,18,8,11,27,28
16,19,8,12,28,29
16,20,8,13,27,28
16,21,8,12,28,29
16,20,8,12,27,28
17,21,9,13,28,29
18,22,9,14,27,28
18,23,10,15,28,29
19,24,11,16,27,28
20,25,11,17,28,29
20,26,11,17,27,28
21,27,10,16,28,29
20,26,9,17,27,28
19,27,9,18,28,29
19,28,8,18,27,28
18,28,7,17,28,29
17,27,6,16,27,28
16,26,5,16,28,29
17,25,4,17,27,28
18,24,4,18,28,29
19,23,4,17,27,28
20,22,4,17,28,29
21,21,5,18,27,28
22,20,5,17,28,29
23,19,6,17,27,28
24,18,7,16,28,29
25,17,8,15,27,28
26,16,9,16,28,29
27,15,8,16,27,28
28,14,7,16,28,29
27,14,7,17,27,28
28,13,6,16,28,29
27,14,7,16,27,28
28,13,7,15,28,29
27,14,7,16,27,28
28,13,6,15,28,29
27,14,6,14,27,28
28,13,6,13,28,29
27,14,7,14,27,28
28,13,8,15,28,29
27,14,9,14,27,28
28,13,8,14,28,29
27,14,9,13,27,28
28,13,8,12,28,29
27,14,9,11,27,28
28,13,10,10,28,29
27,14,9,9,27,28
28,13,9,9,28,29
27,14,10,9,27,28
28,13,11,10,28,29
27,14,11,10,27,28
28,13,10,9,28,29
27,14,11,8,27,28
28,13,11,7,28,29
27,14,10,6,27,28
28,13,11,6,28,29
27,14,11,6,27,28
28,13,12,7,28,29
27,14,13,6,27,28
28,13,14,6,28,29
27,14,13,6,27,28
28,13,14,7,28,29
27,14,14,6,27,28
28,13,14,7,28,29
27,14,15,8,27,28
28,13,16,8,28,29
27,14,17,8,27,28
28,13,17,7,28,29
27,14,17,8,27,28
28,13,18,8,28,29
27,14,18,8,27,28
28,13,19,7,28,29
28,14,18,6,27,28
27,15,18,5,28,29
27,14,19,6,27,28
28,15,19,7,28,29
28,16,20,8,27,28
27,15,20,9,28,29
27,16,21,10,27,28
26,15,21,11,28,29
26,16,22,10,27,28
27,15,21,10,28,29
27,16,20,11,27,28
26,17,20,11,28,29
25,16,19,10,27,28
26,17,18,10,28,29
26,18,17,11,27,28
25,19,16,10,28,29
26,20,15,9,27,28
25,19,16,9,28,29
25,18,16,8,27,28
25,17,17,9,28,29
26,18,17,8,27,28
26,17,17,8,28,29
25,16,18,9,27,28
26,17,19,9,28,29
26,16,20,10,27,28
27,17,20,9,28,29
27,16,20,9,27,28
26,15,21,9,28,29
26,14,21,10,27,28
26,15,21,11,28,29
26,16,21,11,27,28
27,17,20,11,28,29
26,17,20,10,27,28
26,16,21,9,28,29
27,15,22,8,27,28
28,14,23,8,28,29
28,13,24,7,27,28
27,14,23,6,28,29
28,13,23,7,27,28
27,14,23,7,28,29
28,13,23,6,27,28
27,14,22,6,28,29
28,13,22,5,27,28
27,14,22,6,28,29
28,13,21,6,27,28
27,12,22,5,28,29
27,13,22,5,27,28
26,12,23,6,28,29
27,11,23,5,27,28
28,10,24,4,28,29
27,11,23,4,27,28
27,12,23,4,28,29
27,13,23,5,27,28
26,12,23,5,28,29
27,11,22,4,27,28
28,10,21,3,28,29
27,9,22,4,27,28
28,10,23,5,28,29
27,9,23,6,27,28
27,10,22,6,28,29
27,11,22,6,27,28
26,10,23,6,28,29
26,9,24,5,27,28
27,8,25,5,28,29
27,7,24,4,27,28
26,6,23,3,28,29
27,7,23,4,27,28
27,8,24,3,28,29
28,7,25,3,27,28
28,6,24,3,28,29
28,7,25,3,27,28
28,6,25,2,28,29
28,5,25,3,27,28
28,6,25,4,28,29
28,7,25,5,27,28
27,7,25,4,28,29
27,6,25,5,27,28
27,7,24,6,28,29
26,8,23,7,27,28
25,9,23,6,28,29
25,8,22,7,27,28
24,9,21,8,28,29
23,10,22,8,27,28
23,9,21,9,28,29
22,10,22,8,27,28
23,9,22,7,28,29
23,8,22,7,27,28
24,9,22,8,28,29
24,10,21,8,27,28
24,11,22,8,28,29
24,10,21,9,27,28
23,11,20,10,28,29
22,12,19,10,27,28
22,13,20,10,28,29
22,12,19,9,27,28
23,13,20,10,28,29
24,14,19,11,27,28
23,15,20,10,28,29
24,14,19,11,27,28
23,15,19,12,28,29
23,16,19,11,27,28
23,15,18,10,28,29
24,16,19,9,27,28
25,15,19,10,28,29
25,16,20,11,27,28
26,17,21,12,28,29
25,16,20,11,27,28
26,17,20,10,28,29
26,16,20,10,27,28
27,17,21,9,28,29
28,16,20,8,27,28
27,15,19,7,28,29
28,16,19,7,27,28
27,15,18,7,28,29
27,16,17,8,27,28
26,17,18,8,28,29
26,16,17,7,27,28
27,17,17,6,28,29
27,16,16,6,27,28
26,16,15,5,28,29
25,15,14,5,27,28
24,15,15,6,28,29
25,16,15,5,27,28
25,15,14,4,28,29
24,14,14,3,27,28
24,13,14,2,28,29
24,12,14,1,27,28
25,11,15,2,28,29
