Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
26,12,12,20,27,4
21,19,21,25,25,2
22,18,21,26,26,3
23,17,20,25,27,4
24,16,20,24,28,3
25,17,21,24,27,4
26,16,21,24,28,3
27,15,22,23,27,4
26,14,21,24,28,3
27,13,20,24,27,4
27,14,21,24,28,3
27,15,21,24,27,4
26,14,22,23,28,3
27,13,23,23,27,4
27,14,23,22,28,3
27,15,23,22,27,4
26,14,23,23,28,3
27,13,22,22,27,4
27,14,21,23,28,3
27,15,21,24,27,4
26,14,21,23,28,3
27,15,20,22,27,4
26,16,20,23,28,3
26,17,20,24,27,4
26,18,19,25,28,3
27,17,20,24,27,4
28,16,20,25,28,3
27,17,20,26,27,4
26,18,19,25,28,3
27,17,18,25,27,4
27,16,19,24,28,3
28,15,20,25,27,4
27,16,19,24,28,3
28,15,20,24,27,4
28,16,21,23,28,3
27,17,21,24,27,4
26,17,20,25,28,3
25,18,21,25,27,4
26,17,21,24,28,3
25,18,20,23,27,4
26,17,19,24,28,3
27,16,18,24,27,4
27,15,19,23,28,3
26,16,18,23,27,4
26,15,18,22,28,3
26,14,17,23,27,4
27,13,17,24,28,3
27,14,18,23,27,4
26,15,19,23,28,3
26,16,19,22,27,4
26,15,19,21,28,3
26,14,19,21,27,4
27,13,19,22,28,3
27,14,19,23,27,4
27,15,18,22,28,3
26,14,17,21,27,4
25,13,17,22,28,3
25,14,18,23,27,4
26,15,18,22,28,3
26,14,17,21,27,4
25,13,17,21,28,3
26,12,16,20,27,4
25,13,17,19,28,3
26,12,17,19,27,4
25,13,17,20,28,3
24,12,17,21,27,4
25,13,16,22,28,3
26,12,16,23,27,4
26,13,17,24,28,3
27,14,17,24,27,4
26,15,18,24,28,3
26,16,19,24,27,4
26,17,18,24,28,3
26,16,18,23,27,4
26,15,17,24,28,3
27,14,16,23,27,4
26,13,15,22,28,3
25,12,15,21,27,4
24,13,15,22,28,3
25,12,16,21,27,4
26,11,15,20,28,3
26,12,15,20,27,4
25,13,16,20,28,3
26,12,15,20,27,4
25,13,15,21,28,3
26,12,15,21,27,4
25,13,14,20,28,3
26,12,13,19,27,4
25,13,12,18,28,3
26,12,11,18,27,4
25,13,12,19,28,3
26,12,12,20,27,4
