Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
11,17,20,6,27,18
13,21,15,10,18,9
12,21,14,11,19,10
11,20,15,10,20,11
12,19,14,9,21,12
13,18,15,8,22,13
12,17,16,8,23,14
11,16,17,8,24,15
11,17,17,8,25,16
12,16,16,9,26,17
11,16,16,8,27,18
11,17,16,8,28,17
12,16,17,9,27,18
11,16,18,9,28,17
11,17,17,8,27,18
12,16,18,7,28,17
11,16,19,7,27,18
11,17,20,8,28,17
12,16,21,9,27,18
11,16,21,8,28,17
11,17,20,8,27,18
12,16,21,7,28,17
11,16,20,7,27,18
11,17,19,7,28,17
12,16,20,8,27,18
11,16,21,8,28,17
11,17,20,9,27,18
12,16,19,9,28,17
11,16,19,8,27,18
11,17,20,9,28,17
12,16,20,8,27,18
11,16,20,7,28,17
11,17,20,6,27,18
