Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
26,5,14,4,27,29
21,10,23,2,3,19
22,9,22,2,4,20
23,8,22,3,5,21
24,7,23,3,6,22
25,6,23,3,7,23
26,5,23,3,8,24
27,6,22,2,9,25
26,7,22,1,10,26
25,6,21,2,11,27
26,5,20,2,12,28
27,6,21,3,13,29
26,7,22,3,14,28
25,6,21,3,15,29
26,5,20,3,16,28
27,6,21,3,17,29
26,7,21,3,18,28
25,6,22,2,19,29
26,5,21,2,20,28
27,6,20,2,21,29
27,7,19,3,22,28
26,8,19,2,23,29
27,7,20,1,24,28
26,7,19,0,25,29
27,6,19,0,26,28
26,7,20,0,27,29
27,6,19,0,28,28
26,7,19,0,27,29
27,6,18,1,28,28
26,7,17,0,27,29
27,6,16,0,28,28
26,7,15,1,27,29
25,6,16,1,28,28
26,5,16,0,27,29
25,6,16,1,28,28
26,5,17,0,27,29
27,6,17,0,28,28
26,7,17,0,27,29
27,6,17,0,28,28
26,7,18,0,27,29
27,6,19,0,28,28
26,7,20,1,27,29
25,6,19,1,28,28
24,7,19,0,27,29
25,6,19,0,28,28
26,7,19,1,27,29
25,8,19,2,28,28
25,7,20,3,27,29
26,6,19,2,28,28
25,5,19,3,27,29
25,6,18,4,28,28
26,5,18,4,27,29
27,6,17,3,28,28
26,7,16,3,27,29
25,6,15,4,28,28
26,5,16,3,27,29
27,6,15,4,28,28
26,7,16,4,27,29
25,6,15,5,28,28
26,5,14,4,27,29
