Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,19,29,0,27,17
27,22,17,18,28,6
28,21,18,18,27,7
27,21,18,19,28,8
28,20,18,18,27,9
27,20,17,18,28,10
28,19,18,17,27,11
27,20,18,18,28,12
28,19,18,17,27,13
27,20,19,18,28,14
28,19,18,17,27,15
27,20,19,17,28,16
28,19,18,18,27,17
27,20,17,19,28,16
28,19,17,18,27,17
27,20,18,19,28,16
28,19,18,19,27,17
27,20,19,19,28,16
28,19,20,18,27,17
27,20,21,18,28,16
28,19,22,17,27,17
28,20,21,17,28,16
27,20,20,16,27,17
28,19,21,15,28,16
28,20,22,16,27,17
27,21,21,15,28,16
28,22,21,14,27,17
27,22,20,13,28,16
28,21,20,13,27,17
27,21,19,14,28,16
27,22,20,14,27,17
28,21,21,14,28,16
27,20,21,14,27,17
28,19,21,13,28,16
27,20,22,13,27,17
28,19,21,13,28,16
27,20,22,14,27,17
28,19,22,13,28,16
27,20,22,13,27,17
28,19,22,14,28,16
27,20,23,15,27,17
28,19,23,15,28,16
28,20,22,14,27,17
27,20,22,13,28,16
28,19,21,12,27,17
27,20,20,11,28,16
28,19,21,12,27,17
27,20,22,13,28,16
28,19,21,13,27,17
27,20,22,13,28,16
28,19,23,12,27,17
27,20,24,11,28,16
28,19,24,11,27,17
27,20,24,10,28,16
28,19,24,11,27,17
27,20,23,11,28,16
28,19,24,12,27,17
27,20,23,13,28,16
28,19,23,13,27,17
27,20,22,13,28,16
28,19,21,13,27,17
27,20,20,12,28,16
28,19,21,13,27,17
27,20,21,13,28,16
28,19,21,13,27,17
27,20,22,14,28,16
28,19,21,15,27,17
27,20,20,14,28,16
27,21,20,15,27,17
27,22,19,14,28,16
28,23,18,14,27,17
28,24,19,15,28,16
27,23,20,14,27,17
28,22,20,15,28,16
28,23,20,14,27,17
27,23,20,15,28,16
27,22,21,14,27,17
28,21,22,13,28,16
27,21,21,13,27,17
28,20,20,12,28,16
27,20,20,13,27,17
28,19,21,14,28,16
27,20,22,15,27,17
28,19,21,14,28,16
27,20,21,15,27,17
28,19,20,14,28,16
28,20,20,13,27,17
27,20,20,13,28,16
28,21,20,12,27,17
27,21,19,13,28,16
28,22,18,13,27,17
28,23,19,13,28,16
28,22,18,13,27,17
28,23,19,13,28,16
28,22,20,14,27,17
27,22,19,15,28,16
27,23,18,15,27,17
27,24,19,14,28,16
28,23,18,13,27,17
27,22,19,13,28,16
27,21,19,14,27,17
27,22,20,15,28,16
28,23,20,14,27,17
27,23,19,15,28,16
28,24,19,15,27,17
27,23,20,15,28,16
27,22,21,16,27,17
28,23,20,15,28,16
27,22,21,14,27,17
28,21,21,13,28,16
27,21,22,12,27,17
28,20,22,13,28,16
27,20,21,13,27,17
28,19,22,13,28,16
27,20,22,12,27,17
28,19,23,12,28,16
27,20,23,13,27,17
28,21,24,12,28,16
28,20,25,12,27,17
27,20,26,12,28,16
28,19,27,11,27,17
27,20,26,11,28,16
28,19,27,11,27,17
27,20,26,10,28,16
28,19,27,9,27,17
27,20,26,10,28,16
28,19,27,10,27,17
27,20,26,9,28,16
28,19,25,9,27,17
27,20,26,8,28,16
28,19,26,7,27,17
27,20,26,8,28,16
28,19,25,7,27,17
27,20,25,8,28,16
28,19,24,7,27,17
27,20,23,6,28,16
28,19,22,7,27,17
27,20,23,7,28,16
28,19,22,7,27,17
27,20,22,6,28,16
28,19,23,6,27,17
27,20,23,5,28,16
28,19,24,6,27,17
27,20,25,6,28,16
28,19,24,7,27,17
27,20,24,7,28,16
28,19,23,7,27,17
27,20,22,7,28,16
28,19,23,6,27,17
27,20,24,5,28,16
28,19,24,6,27,17
27,20,23,5,28,16
28,19,24,5,27,17
27,20,25,4,28,16
28,19,25,3,27,17
27,20,25,2,28,16
28,19,26,3,27,17
27,20,26,2,28,16
28,19,26,3,27,17
27,20,25,3,28,16
28,19,24,4,27,17
27,20,23,5,28,16
28,19,22,5,27,17
27,20,23,4,28,16
28,19,23,5,27,17
27,20,22,5,28,16
28,19,22,6,27,17
27,20,22,6,28,16
28,19,22,7,27,17
27,20,21,6,28,16
28,19,22,5,27,17
27,20,21,5,28,16
28,19,21,5,27,17
27,20,22,6,28,16
28,19,23,6,27,17
27,20,22,5,28,16
28,19,23,5,27,17
27,20,22,6,28,16
28,19,22,6,27,17
27,20,23,6,28,16
28,19,24,5,27,17
27,20,23,4,28,16
28,19,24,3,27,17
27,20,25,4,28,16
28,19,24,3,27,17
27,20,23,2,28,16
28,19,23,3,27,17
27,20,24,2,28,16
28,19,23,3,27,17
27,20,22,4,28,16
28,19,22,4,27,17
27,20,22,4,28,16
28,19,22,3,27,17
27,20,22,3,28,16
28,19,23,4,27,17
27,20,24,3,28,16
28,19,24,4,27,17
27,20,24,3,28,16
28,19,24,2,27,17
27,20,24,1,28,16
28,19,25,2,27,17
27,20,25,1,28,16
28,19,26,1,27,17
27,20,25,0,28,16
28,19,25,0,27,17
27,20,26,1,28,16
28,19,26,2,27,17
27,20,26,1,28,16
28,19,26,0,27,17
27,20,25,1,28,16
28,19,25,1,27,17
27,20,24,1,28,16
28,19,25,1,27,17
27,20,26,1,28,16
28,19,26,0,27,17
27,20,25,1,28,16
28,19,25,1,27,17
27,20,26,2,28,16
28,19,26,1,27,17
27,20,26,1,28,16
28,19,27,0,27,17
27,20,26,1,28,16
28,19,27,1,27,17
27,20,28,1,28,16
28,19,28,0,27,17
27,20,28,0,28,16
28,19,28,0,27,17
27,20,27,1,28,16
28,19,26,0,27,17
27,20,26,0,28,16
28,19,26,0,27,17
27,20,25,1,28,16
28,19,26,2,27,17
27,20,26,2,28,16
28,19,25,1,27,17
27,20,25,1,28,16
28,19,26,1,27,17
27,20,26,0,28,16
28,19,26,0,27,17
27,20,26,0,28,16
28,19,26,0,27,17
27,20,27,1,28,16
28,19,27,2,27,17
27,20,26,1,28,16
28,19,25,2,27,17
27,20,24,2,28,16
28,19,24,3,27,17
27,20,23,2,28,16
28,19,24,2,27,17
27,20,25,2,28,16
28,19,24,1,27,17
27,20,25,0,28,16
28,19,26,0,27,17
27,20,26,0,28,16
28,19,26,0,27,17
27,20,26,1,28,16
28,19,26,1,27,17
27,20,25,1,28,16
28,19,26,0,27,17
27,20,27,0,28,16
28,19,27,0,27,17
27,20,28,1,28,16
28,19,29,0,27,17
