Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,14,24,3,29,29
14,14,19,4,22,28
14,14,20,4,21,29
14,14,21,4,22,28
14,14,20,3,23,27
14,14,21,2,24,26
14,14,21,3,25,27
14,14,22,4,26,26
14,14,23,3,27,25
14,14,23,2,26,26
14,14,23,3,25,27
14,14,22,4,26,26
14,14,22,5,27,27
14,14,21,4,28,28
14,14,21,4,27,29
14,14,20,5,28,28
14,14,19,4,27,29
14,14,20,3,26,28
14,14,20,2,27,29
14,14,20,3,27,29
14,14,19,4,28,28
14,14,19,3,27,27
14,14,20,3,26,28
14,14,21,2,27,27
14,14,22,3,28,26
14,14,23,4,27,27
14,14,24,3,28,28
14,14,24,3,29,29
