Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
10,13,25,28,22,29
10,13,19,29,4,27
11,12,19,29,5,28
10,13,20,29,6,29
11,12,20,29,7,28
10,13,20,29,8,29
11,12,20,29,9,28
10,13,19,28,10,29
11,12,18,27,11,28
10,13,18,28,12,29
11,12,19,29,13,28
10,13,19,29,14,29
11,12,20,28,15,28
10,13,20,27,16,29
11,12,19,28,17,28
10,13,18,28,18,29
11,12,18,29,19,28
10,13,18,29,20,29
11,12,19,29,21,28
10,13,19,29,22,29
11,12,20,29,21,28
10,13,20,29,22,29
11,12,20,29,21,28
10,13,19,29,22,29
11,12,19,29,21,28
10,13,18,28,22,29
11,12,17,29,21,28
10,13,17,29,22,29
11,12,17,29,21,28
10,13,17,28,22,29
11,12,16,28,21,28
10,13,17,28,22,29
11,12,17,27,21,28
10,13,17,26,22,29
11,12,16,26,21,28
10,13,16,27,22,29
11,12,16,26,21,28
10,13,16,26,22,29
11,12,17,26,21,28
10,13,17,26,22,29
11,12,17,27,21,28
10,13,17,28,22,29
11,12,17,27,21,28
10,13,18,26,22,29
11,12,19,27,21,28
10,13,18,28,22,29
11,12,19,28,21,28
10,13,18,28,22,29
11,12,18,28,21,28
10,13,18,29,22,29
11,12,19,28,21,28
10,13,19,28,22,29
11,12,19,28,21,28
10,13,18,29,22,29
11,12,19,28,21,28
10,13,18,29,22,29
11,12,19,29,21,28
10,13,18,29,22,29
11,12,18,29,21,28
10,13,18,29,22,29
11,12,19,29,21,28
10,13,19,28,22,29
11,12,19,27,21,28
10,13,20,27,22,29
11,12,20,28,21,28
10,13,21,27,22,29
11,12,20,27,21,28
10,13,20,26,22,29
11,12,21,27,21,28
10,13,21,27,22,29
11,12,22,28,21,28
10,13,23,29,22,29
11,12,23,29,21,28
10,13,23,29,22,29
11,12,24,29,21,28
10,13,25,29,22,29
11,12,25,29,21,28
10,13,25,28,22,29
